Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2021-02-05,1,"Transat, which owns Canada's third-largest airline Air Transat, said the EC requested additional information from the parties and now expects to deliver a decision.",A number of other research analysts have also recently commented on the company. ATB Capital upped their price objective on Air Canada (AC.TO) from C$27.50 ...,"If Air Canada can afford $190 million to purchase Air Transat, why are they negotiating with Prime Minister Justin Trudeau for a bailout which is very likely to ...","While Canada's doses of vaccine from Pfizer-BioNTech are made in Belgium, they are being shipped through UPS, which flies them to Canada via its air hub in ...","OTTAWA, Ontario--(BUSINESS WIRE)-- Canada's largest union, and union ... in the sector after Air Canada opted to deny access to their laid-off employees.","Airlines with affected flights include Air Canada, Flair Airlines, and WestJet. Four of these flights were unable to identify which rows were affected.","""When Air Canada returns — and it will return, although it might not be on April 11 as it says on its website — but when it returns, the airport will be ready."" About ...","The vaccine rollout in Canada has not lived up to expectations. ... the moment, the consortium consists of 12 major Canadian companies, including Air Canada, ...","All flights heading to and from Toronto included WestJet, Air Canada, and Flair Airlines. Here's a list of domestic flights with confirmed COVID-19 cases from ...","TORONTO — VISIT FLORIDA and The Weather Network, along with partner Air Canada, have launched 'Wanderlust: Florida', a brand new 4-part docu-series."
2021-02-08,0,We continue to work with Air Canada and our leasing customers to help them manage the economic pressures they are facing as a consequence of the sustained ...,"10am - New York City - United Airlines, Air Canada, Lufthansa, Swiss International Airlines, Austrian, Delta Air Lines, Air France, KLM - Royal Dutch Airlines, ...","Two days later, Air Canada flight AC265 from Toronto to Winnipeg reported a positive COVID-19 case on board; however, they were unable to identify affected ...","Air Canada has also laid-off around 1,500 more employees since the travel ban was announced, including 100 call center workers. “Workers in this sector are ...","Following numerous successful implementations with large enterprise customers such as LiUNA and Air Canada, SMEs, First Nations communities, and a ...","TO), Finning International (FII.TO), Ats Automation (ATA.TO), Air Canada (AC.TO), WSP Global (WSP.TO) and Canadian Pacific Railway (CP.TO) are gaining 1.8 ...","... Panalpina, Nippon Express, GEODIS, VersaCold, Agility, DSV, Sinotrans, Kerry Logistics, SF Express, CEVA, CH Robinson, Air Canada Cargo and others.","Air Canada is an associate member. A4A advocates on behalf of the leading U.S. airlines, both passenger and cargo carriers. A4A works collaboratively with ...","Last month, Air Canada cut one daily flight from London to Toronto, leaving one remaining. That's a far cry from the 40 flights and 2,500 passengers a day into ...",We continue to work with Air Canada and our leasing customers to help them manage the economic pressures they are facing as a consequence of the sustained ...
2021-02-09,0,"Air Canada your site login is broken, and there is no way to get help",Air Canada to suspend 17 more routes,I had the worse experience in my life with Air Canda. I have booked a flight and I cancelled later on,,,,,,,
2021-02-10,0,Air Canada is temporarily cutting 17 more routes as it struggles to operate amid government travel restrictions designed to mitigate the spread of the coronavirus.,"Air Canada is cutting an additional 1,500 jobs and suspending more international flights while the airline grapples with heavy travel restrictions imposed to help ...","Investors understand that Air Canada's business is suffering substantially. Sales are down 90%, and the company is bleeding cash every day. Long-term investors ...","In Canada, Air Canada (TSX:AC) is often looked to as such a rebound play for longer-term investors willing to hold through the volatility. Whether or not Air Canada ...",Air Canada is Canada's largest domestic and international airline. Canada's flag carrier is among the 20 largest airlines in the world and in 2019 served over 51 ...,And it could take at least two to three years for AC stock to return to the $40 level. Let's be more conservative in our projection. If Air Canada stock takes three to ...,"Air Canada (TSX:AC). Down 15 cents to $21.50. In the latest sign of COVID-19's devastating toll on Canada's aviation sector, Air Canada said Tuesday that it will ...","The latest Air Canada cuts came about two weeks after Canadian airlines including Swoop, the low-cost rival owned by WestJet, agreed to suspend flights to ...",Most of the article looked at the potential for the Atlantic provinces to create our own homegrown airline to replace West Jet and Air Canada as they pull out of ...,"SWANTON, Ohio — The Aerospace & Natural Science Academy of Toledo has partnered with Air Canada and Tata Consultancy Services partnered for the ..."
2021-02-11,1,Why?  Air Canda has proven it cannot operate without millions in corporate welfare,"Incoming Air Canada CEO faces empty airports, a frosty Trudeau and big shoes to fill",Air Canada has lot to learn about what customer service means and what reasonable flight prices are,Federal government approves Air Canda and AirTransat merger with conditions,My favorite Canadian airline is being taken over by my least favorite airline. I hope Air Canada will learn something about customer service from AirTransat,Air Canada has been awarded with the YVR Green Excellence Award for the second year in a row,Canadian Federal Government has effectively destroyed Canadian Aviation Industry!!,Just got my Air Canada flight cancelled because of harsh measures. Visting my wife in two weeks might not happen but this trip is essential,We are growing and bringing more low fares to more Canadian cities,Remember Air Canada wouldn�t refund the flight they cancelled and lay off peopl
2021-02-12,1,"Air Canada concluded (12-Feb-2021) a series of financing transactions in 2020, totalling CAD6.8 billion, to support the implementation of its planned mitigation ...","Visa, MasterCard say fees are lower, but business groups argue pandemic shopping habits changed the equation. Air Canada cuts 1,500 more jobs and cancels ...","Air Canada EVP and CCO Lucie Guillemette, speaking during the airline's 4Q2020 earnings call, stated the airline intends to convert seven of its Boeing ...",Air Canada reduced (12-Feb-2021) ASM capacity by 67% in 2020 compared to 2019 and plans to reduce 1Q2021 capacity by approximately 85% compared to ...,"Current estimates are based on international travellers arriving by air. Passengers must quarantine and self-monitor for 14 days and, if symptomatic, to get tested. ","Air Canada reported (12-Feb-2021) the following financial highlights: Three months ended 31-Dec-2020: Total operating revenue: CAD827 million, -81.3% ...","Before you consider Air Canada, you may want to hear this. Motley Fool Canadian Chief Investment Advisor, Iain Butler, and his Stock Advisor Canada team just ...",Air Canada completed (14-Feb-2021) a company wide cost reduction and capital reduction and deferral programme in 2020 which reached CAD1.7 billion.,"Ammon News - Air Canada, the largest Canadian airline, posted a staggering $1.16 billion loss in the fourth quarter of 2020 due to the COVID-19 pandemic.",In 2020 Air Canada's total passenger flight operations declined by 73 percent for what CEO Calvin Rovinescu described as the “bleakest year in the history of ...
2021-02-16,1,"Air Canada's Michael Rousseau takes the helm of the largest Canadian airline at a time when it faces multiple crises, the biggest of which is not of its own ...","Frankly, putting this burden on air travel is, we think, far too cumbersome. ... As such, Air Canada and WestJet each have temporarily suspended flights to Mexico ...","Air Canada will bring greater stability to Canada's air transport market,” he said in a statement. Advertisment. The pandemic was also cited as a factor when ...","Transport Canada ordered all commercial air traffic to go through the four international airports active in Canada (Montreal, Toronto, Calgary and Vancouver) ...","Uplift has signed new BNPL partnerships with airlines such as Aeromexico, Air Canada, Alaska Airlines and more. The platform also signed on with cruise lines ...","But the Canadian airframer assures it will continue to support the Learjet fleet ... to offer Gogo Business Aviation's 4G air-to-ground Internet system, AVANCE L5, ...","Congratulations Calin Rovinescu on your well-earned retirement. Thank you for 12 years of leadership, vision and unwavering dedication to making Air Canada a global champion.","After  Air Canda recently suspended its service, Gander Airport has been left with no daily national service.","Yesterday's  Air Canda flight AC843 Dublin to Toronto will be the last for a long time, another route & country gone as we continue to disconnect",Bravo and thank you for banning the carriage of shark fins on your airline. Why cannot all airlines do the same.
2021-02-17,1,"Air Canada was up 2.3% to C$22.85. If the deal falls apart, it may open the door to Quebecor Inc. Chief Executive Officer Pierre Karl Peladeau ...","“Cargo will be an increasingly important part of Air Canada's future,” said outgoing president & CEO Calin Rovinescu this week, following the release of the ...",Transat and Air Canada are continuing their discussions regarding potential amendments to the Arrangement Agreement that may be required. ,Canadian tour operator Transat A.T. Inc said on Tuesday Air Canada refused to extend the deadline for its C$188.7 million ($148.73 million) ...,Air Canada CEO Calin Rovinescu said on the company's recent conference call that he was optimistic about a deal being put together. This comes after what he ...,Ellen made several attempts with Air Canada to get her money back. She wrote the Canadian government. She tried to challenge the charge on her credit card.,"Air Canada has already laid off thousands and removed about 100 airplanes from its fleet. Should Air Canada go completely out of business, many Canadian ...","Air travel has also come under scrutiny and starting next week, arrivals into Canada will have to head to a quarantine hotel as they await testing.","Air Canada estimated its ongoing losses average $15 million a day, according to Blacklock's Reporter. “Demand for air travel has been devastated and airlines are ...",Many believe that the travel industry shouldn't restart until pilots and air crew ... carrier Air Canada Rouge has suspended all operations until the end of April.
2021-02-18,0,"Air Canada will not extend Monday's deadline for its acquisition of the company, after European regulators failed to give their approval, Transat said earlier on ...", Air Canada was reaching new heights before the pandemic hit. It was one of the most sought-after growth stocks before the pandemic.,Air Canada said in November that it was cancelling orders for 12 Airbus A220s and 10 Boeing 737 Max 8s as the airline was forced to scale down its operations.,"Before assuming the top job in 2009, Calin Rovinescu had worked as Air Canada's Executive Vice President and Chief Restructuring Officer.",Air Canada announced that it was cancelling all flights to Prince Rupert effective Jan. 23 until further notice as part of its COVID-19 Mitigation ...,"TORONTO — VISIT FLORIDA and The Weather Network, along with partner Air Canada, have launched 'Wanderlust: Florida', a brand new 4-part docu-series.","At the moment, the consortium consists of 12 major Canadian companies, including Air Canada, Suncor and Nutrien, which are part of a pilot project on the ...","If Air Canada can afford $190 million to purchase Air Transat, why are they negotiating with Prime Minister Justin Trudeau for a bailout which is very likely to ...","The job cuts meant that Air Canada, Canada's largest airline, essentially cut its workforce in half, from roughly 40,000 people before the pandemic to about 20,000 ...",Air Canada's acquisition of Transat is up in the air after Canada's largest airline said it will not allow more time for the deal to go through. 5. 'Provide ...
2021-02-19,1,The $190-million acquisition by Air Canada that was approved by the federal government remains ,We continue to work with Air Canada and our leasing customers to help them manage the economic pressures they are facing as a consequence of the sustained ...,"The Canadian government has identified 22 more COVID-19 cases on ... Two days later, Air Canada flight AC265 from Toronto to Winnipeg reported a positive ...",Air Canada's market dominance has been cemented by its recent deal to buy Air Transat. The airline paid a meagre $190 million to acquire this leisure travel ...,"Nevertheless, the language of the Quarantine Order permits the Government of Canada to require air travellers to undergo a second post-arrival COVID-19 ...",Chorus' vision is to deliver regional aviation to the world. Chorus has been leasing its owned regional aircraft into Jazz's Air Canada Express operation since 2009 ...,“Transat and Air Canada are continuing their discussions regarding potential amendments to the arrangement agreement that may be required.,(Montreal) Transat AT on Thursday announced that it has received some financial relief as the European Commission's decision on the takeover of Air Canada ...,Maree Curtis and her partner had booked their holiday of a lifetime to celebrate retirement – flights with Air Canada; a rail trip on the Rocky Mountaineer and an ...,"Air Canada has shown off its retro Trans-Canada Air Lines paint scheme for a new Airbus A220. In a tweet, the airline said: Fresh from the Airbus paint shop in ..."
2021-02-22,1,Air Canada (AC / ACA) has announced that its latest Airbus A220-300 to be delivered will feature a new special livery. The aircraft will be painted in a special ...,Air Canada (TSX:AC) stock is a popular investment right now. Shares are up more than 60% since their 2020 lows. Just don't pile into this stock yet. When most ...,Air Canada expressed big optimism over the long-expected federal support in its earnings call last week. The flag carrier is comfortable at the moment with its ...,"Head back to February 20, 1999 and the Toronto Maple Leafs played their first game of then Air Canada Centre after moving from Maple Leaf Gardens.","The plane was transformed from an Air Canada passenger model with Air Canada taking part in taking satellites to space. This unit still flies today, keeping the ...","Others may have just showered, headed for the team bus in the loading dock at Scotiabank Arena and boarded the club's Air Canada charter back to Ottawa ...","Frank DeRozan could regularly be seen over the years at the then Air Canada Centre before and after games cheering on his son, who was drafted by the club ...","TO) and Air Canada (AC.TO) moved up 3 to 4%. Technology stocks Lightspeed Pos (LSPD.TO), Celestica Inc. (CLS.TO), Kinaxis Inc. (KXS.TO) and Shopify Inc.","The Maple Leafs hosted the Canadiens, on Feb. 20, 1999, in the first NHL game played at the Air Canada Centre. Todd Warriner scored the first goal in the new ...",Crown corporations such as Via Rail and Canada Post and former Crown corporations such as Air Canada and Canadian National will also continue to offer ...
2021-02-23,1,"Even those stocks that will still take some time to recover post-pandemic are seeing shares rise. That includes businesses like Air Canada (TSX:AC), a company ...","The facility will terminate either on June 30 or at the closing of the arrangement with Air Canada, whichever is the earliest date, Transat AT explained in a ...","If the takeover goes through smoothly, we could see Air Canada operating the A321LR for years and potentially expanding its fleet in the future (or buying the ...",... in acquiring Transat AT from his personal investment company after Air Canada said it will not allow more time for it's takeover of the airline to go through.,They are also asking passengers who travelled on Air Canada Flight 8773 from St. John's to Montreal on Feb. 15 to arrange testing. This report by The Canadian ...,Public Health identified a positive case in a traveler who may have been infectious on Air Canada Flight 8906 on February 8th while ongoing from Montreal to ...,"Public Health is asking passengers who travelled on Air Canada Flight 8773 from St. John's to Montreal on Monday, February 15, 2021, to arrange testing.",US Airways AirTran. Delta Air Canada Virgin America Etihad Lufthansa Gulf Air China Eastern Airlines China Southern Airlines Hainan Airlines Spring Airlines.,"Air Canada Flight 8906 from Montreal to Moncton departing at 7:10 p.m.. For a full list of exposures, refer to CTV News' updated list of COVID-19 exposures in ...",Passengers on the following flight should self-monitor for symptoms and get tested if symptoms develop: Air Canada Flight 8906 – from Montreal to Moncton that ...
2021-02-24,1,"So we ended up going to the Air Canada Cup, which was called the backpack in the day where the top team from each province would play to see who would be ...","WestJet suspended all flights to cities like Charlottetown, Fredericton, Moncton and Québec City. Air Canada last June 30 suspended all flights on thirty routes ...","Air Canada last June 30 suspended all flights on thirty routes including Regina to Winnipeg, North Bay to Toronto and Saint John to Halifax. Alghabra said ...",Air Canada • AmerisourceBergen Corp. • CEVA Logistics AG • Cold Chain Technologies LLC • Continental Cargo OU • DB Schenker • Deutsche Post AG,"This gives Air Canada roughly 15% upside potential to its target price. A 15% return isn't horrible, but several Canadian stocks are far more attractive today. And ...",“Air Canada believes a collaborative approach with the Government of Canada involving all air carriers is the best means to respond to the COVID-19 pandemic ...,"The analyst holds a buy rating for Air Canada, Alaska Air Group, JetBlue Airways, Mesa Air Group, and Southwest. He also holds an underperform rating for ...","In a long-awaited decision, on February 11, 2021, Canada's newly appointed Transport Minister approved Air Canada's acquisition of rival Air Transat on public ...","Air Canada notably cut about half of its entire workforce, furloughing over 16,000 employees. The fact that Qatar Airways is already looking to call back some of ...","Air Canada and Sunwing also have 737 MAX aircrafts in their fleets. The MAX crisis began with a 2018 crash of the jet in Indonesia, followed by another in ..."
2021-02-25,0,Air Canada will sell the retired B767 passenger planes to ATSG-owned lessor Cargo Aircraft Management (CAM) and then lease them back after they are ...,"She even launched her own TV show, What's On Your Post-Pandemic Bucket List?, which is now seen on all Air Canada flights, and more recently her bubbly ...","Between Air Canada (TSX:AC) and BlackBerry (TSX:BB), which stock is a contrarian fit? The post Which Is a Better Contrarian Buy: Air Canada or BlackBerry?","Air Canada received over 400 million dollars from the government for wage subsidies, and promptly layed thousands off. Big Pharma is responsible for price ...","Air Canada spokeswoman Angela Mah said losing towers ""would have an impact on overall efficiencies as airline operations become significantly more ...",Air Canada (TSX:AC) grew into a juggernaut in the latter half of the previous decade — an amazing comeback for a company that looked to be on the brink of ...,"The analyst holds a buy rating for Air Canada, Alaska Air Group, JetBlue Airways, Mesa Air Group, and Southwest. He also holds an underperform rating for ...","Air Canada has 25 777s in its fleet, but they use an engine made by General Electric, and are not subject to the grounding recommendation. Other Canadian ...","On Monday, Air Canada's sharp gains came after Deutsche Bank upgraded its outlook for the airline sector. Deutsche Bank analyst Michael Linenberg believes “ ...","Much like the Denver incident, the Air Canada Boeing 777 had suffered an engine shutdown, and the plane went on to make an emergency landing at the airport."
